x,y,z,Sx,Sy,Sz
0,0,0,-0.87301225335674459,0.48224477164911284,-0.072729538057617449
1,0,0,-0.75110258477564396,0.55515732887153002,0.35727475049823276
2,0,0,-0.51402947240566244,0.42109967707434959,-0.74729429508476442
3,0,0,-0.79177899029369492,0.5829683658748458,-0.18230171397633471
4,0,0,-0.88443747469993017,-0.030316280732683706,-0.46567292864085147
5,0,0,0.93161454952287437,-0.056900718500953636,-0.35896606991659685
6,0,0,0.85382510898060748,0.44623354497270284,0.26806399723825042
7,0,0,0.60499004266158396,0.79342684474098524,-0.066789896875946927
8,0,0,0.93062416830598993,0.35768077653968966,0.077479800327240653
9,0,0,0.80545779097606418,-0.33739466152461206,0.48723976575260275
10,0,0,0.94660116130865257,-0.31035839047818459,-0.087315009413623523
11,0,0,-0.58207642373647239,-0.21524858558368332,-0.78412695613298644
12,0,0,-0.8335572234280294,0.33916574055421955,-0.43606072479101121
13,0,0,-0.53986364112691765,0.64400137914289224,-0.5420419473170317
14,0,0,-0.49594927915334169,0.83505468072154543,0.23815539614360701
15,0,0,0.44101322397921205,-0.67308178255385287,0.593690365653334
16,0,0,0.97879397026764192,-0.08578552656065902,0.1860193731857443
17,0,0,0.90590821479007022,-0.20342027484029282,-0.37141687920686633
18,0,0,0.60732443138680947,-0.041265970424187018,-0.79338146860488157
19,0,0,0.99754833234567575,-0.014593693830274273,0.068442302231512653
20,0,0,0.59537105965446968,-0.77115464453244253,0.22550790571941468
21,0,0,-0.03177740108602365,-0.97672147934484066,-0.21214464067386704
22,0,0,0.35919318742061668,-0.80135434205897538,-0.47834242188399334
23,0,0,0.080896392486961635,0.48531697463194112,-0.87058785186602239
24,0,0,-0.33530258608105917,0.9354178196489783,-0.11209673701988572
25,0,0,-0.8157963952976629,-0.57418448099871744,0.069198433505196402
26,0,0,-0.38018554028256563,-0.65790680314345173,0.65009045012030231
27,0,0,-0.82655026742358206,0.46830914691759434,-0.31225181878624841
28,0,0,-0.23084829186346847,-0.022108856713370286,0.97273853866213533
29,0,0,-0.61647120515689913,-0.34135890774311345,0.7095331911312035
30,0,0,-0.16884939037152713,-0.80010317746750681,0.57560819033224597
31,0,0,-0.39654920443927727,-0.86550205014741088,-0.30603092923625341
0,1,0,0.14272609402346445,-0.88320089601079121,0.44674986219420487
1,1,0,-0.32502082603479582,-0.93237158730607728,-0.15825512891532159
2,1,0,-0.25328304810804059,-0.20860245766074589,-0.94463363914217924
3,1,0,-0.5142186233799233,0.85556271782646676,0.059930319827667659
4,1,0,-0.58356752649655974,0.096516807016558279,0.80630853150764559
5,1,0,0.29156368722482501,-0.95501291440537428,0.054230522870593226
6,1,0,0.70756431926681951,-0.23711039769357761,-0.66568114995549921
7,1,0,0.48318335648056399,-0.035498429843460681,-0.8747992372532255
8,1,0,-0.12717288278131889,-0.28474201752051148,-0.95013106535016423
9,1,0,-0.51708019725991461,-0.78296598991717248,-0.34582123739682369
10,1,0,0.08414037853853866,-0.14246219031248572,-0.98621748160877809
11,1,0,-0.83081886012890693,0.081372048012587073,-0.55056208683157704
12,1,0,-0.81223974042759395,-0.13252965138487172,-0.56806909401402883
13,1,0,-0.85860588935840632,0.23325828722816272,-0.45649370006435375
14,1,0,-0.5160131736328194,0.73566006912921789,0.43878772467581661
15,1,0,0.27805452731515218,0.68640365177626539,0.67196406650040075
16,1,0,0.016691954331074656,-0.97921022311852501,0.20216012861288365
17,1,0,0.035247938471772627,-0.95445947675244791,-0.29625105918955519
18,1,0,0.26520562245783769,-0.14646798874326303,-0.95300215429465562
19,1,0,0.91738415454672839,0.39319653679506689,-0.061666817973282897
20,1,0,0.085746619036140379,-0.92067534085657898,0.38079447745797612
21,1,0,-0.53306389013310063,-0.051151954046981522,-0.84452730366361839
22,1,0,-0.29081993811032958,-0.047037972024894285,-0.95562084153982829
23,1,0,-0.73769153417676048,0.41261660344128165,-0.53437696335874896
24,1,0,-0.9500380202685742,-0.30578899102554713,0.062616715114626395
25,1,0,-0.3446577625110151,0.1180370861628775,0.9312777636296693
26,1,0,0.20710298926344625,0.26713710710475375,0.94114085972602857
27,1,0,0.16307361382052096,-0.18315442559024081,0.96946451861954419
28,1,0,-0.038675226124648306,-0.35930684251571626,0.93241772816994095
29,1,0,0.43556124890476527,-0.84182406464249193,0.31877679125261704
30,1,0,-0.41721865882510317,-0.069160356113141225,0.90617075425688154
31,1,0,-0.62690183748673156,-0.70330372313142031,0.33519838780227179
0,2,0,-0.15997733044412679,-0.98553094978501909,0.056000006784007877
1,2,0,0.1565346986474857,-0.28305224403586549,-0.94624432112726675
2,2,0,-0.015384881100686932,0.061795129725837769,-0.99797027379360581
3,2,0,0.61473963379519181,0.77216630803816277,0.16079295809228292
4,2,0,-0.0006078093107365417,0.62484086282541718,0.78075189830792613
5,2,0,-0.83660167060145219,-0.21122360129745693,0.50545250518895668
6,2,0,-0.3096119372030724,-0.86805827223424226,-0.38809185040021521
7,2,0,-0.12021034288294791,0.2899694073458095,-0.94945627401554633
8,2,0,-0.72219729474803285,0.66232290464701571,0.19939768664295812
9,2,0,0.18106004919341043,-0.77941307555968786,-0.59977705544032633
10,2,0,-0.31415265836190082,0.028637085988607671,-0.94894047471389487
11,2,0,-0.17004587785887418,-0.50919472279397826,-0.84368544713179028
12,2,0,-0.85006892366211206,0.42838130584405182,-0.30638583816371728
13,2,0,-0.71126872557412646,-0.25216225116495455,0.65613336990857307
14,2,0,-0.43049224450993445,0.87031701943885709,0.23921687459680419
15,2,0,0.075778684904668756,0.94687198128977956,0.31255566218273267
16,2,0,-0.13552929849558762,-0.27595295907211442,0.95156806042901521
17,2,0,-0.47199057966826174,-0.85808746126097479,-0.20226418746558525
18,2,0,-0.44891851472415462,0.077137324829635076,-0.89023704722730257
19,2,0,0.4479381157847363,0.89168783274987873,-0.065147934372816615
20,2,0,-0.090054283765122645,0.77251031507785994,0.6285841543292805
21,2,0,-0.85436201148960256,0.40313676519177677,-0.32794252830968806
22,2,0,-0.88008678975710941,0.26473096076292546,0.39416336829868387
23,2,0,-0.82424943148990615,-0.14449327031827994,0.54748020011804543
24,2,0,0.38275953510808214,-0.9235128118900473,0.024884223089800771
25,2,0,-0.48033680927639288,-0.72153222559631036,0.49866601757108864
26,2,0,0.54006677664462321,-0.51797994721692608,0.66334353923576983
27,2,0,0.06482746345299803,-0.96571718142104412,-0.25137168792535936
28,2,0,0.37915278161906796,-0.92496710928694081,-0.026057914879818525
29,2,0,0.88674986473099437,-0.25482218531095685,0.38566868070004273
30,2,0,0.86698648013866286,-0.49628563486567806,-0.045111105980044794
31,2,0,-0.68410729261925429,-0.16443569677552472,-0.71060404854679915
0,3,0,-0.6811801347506381,-0.6366792269373398,0.36143213195228496
1,3,0,0.079357558469521944,-0.75126253565118906,0.65521521688732365
2,3,0,-0.75554523736461043,-0.2236175420769993,0.61574880362944751
3,3,0,0.8689097686011964,-0.46867813671111047,-0.15917480390569655
4,3,0,0.23917631430660946,-0.26797156590952104,0.93326626990302475
5,3,0,-0.36852421888774833,0.87636859885822249,0.31010962421126315
6,3,0,-0.43827365372136023,-0.68756301885400872,0.57894153379947755
7,3,0,0.65046720176135642,0.60544184013812463,-0.45862031970128908
8,3,0,-0.086097081784321544,0.79574569235143366,-0.59947984587670777
9,3,0,-0.80912185211262311,-0.46582889041676767,-0.35822517120788894
10,3,0,-0.72557566698451037,-0.5038976066371782,-0.46864395174301221
11,3,0,-0.50627893466983287,0.30215599097237228,-0.80770254266597619
12,3,0,-0.80691415526243815,-0.10057589952778505,0.58204298335370652
13,3,0,-0.03451070170993166,0.99820573131428214,-0.048931885706636133
14,3,0,-0.11806567602415258,0.97475759316635391,0.1894944081219731
15,3,0,-0.28000955368097458,0.95985991705332729,0.016235439068932135
16,3,0,-0.096580501352268075,0.51428940408380541,0.85216114415389133
17,3,0,0.043804291768942058,-0.52875887033220692,0.84764098595315107
18,3,0,-0.030279984388513925,-0.45145985839756481,-0.89177750521140764
19,3,0,0.018369080105280818,-0.7144368392873337,-0.69945877617284236
20,3,0,0.51831218029697912,-0.35396533198226232,-0.77849921484255769
21,3,0,-0.10659008225500007,0.95375637998649132,-0.28104683239619688
22,3,0,-0.39661573987021459,0.045506596291517633,0.91685609807709911
23,3,0,-0.91840726096447289,0.18852979986529445,-0.34782843122793544
24,3,0,-0.39677704717354617,0.18862298364243493,0.89832585673466347
25,3,0,0.91140113970293579,-0.27672472218707211,0.30458396326575943
26,3,0,0.20666900696990415,-0.39956766777461455,-0.89310335372073768
27,3,0,-0.70810912480410781,-0.69403047238984228,-0.13001219467224173
28,3,0,0.61135909929988674,-0.73756309494299077,-0.28677645070916835
29,3,0,-0.31583792891949047,-0.94233951372090718,-0.11064647999864746
30,3,0,-0.31862568699096594,0.91660043491968868,-0.241498062713912
31,3,0,-0.76254887333758714,0.37338776342507163,0.52829990904409518
0,4,0,0.93384568597781792,-0.32026343062284934,-0.15925944174931136
1,4,0,0.38473021222312298,-0.87546629148336175,0.29247467630398438
2,4,0,0.35582290939229028,-0.91320949016870201,0.19859124909578876
3,4,0,0.82377555137632508,-0.34771678694662972,-0.44775760968423955
4,4,0,0.42845789201078061,-0.41924465117846971,-0.80041099269807747
5,4,0,0.92122578692082069,-0.23082961553595513,-0.31314651220097928
6,4,0,0.51278332030582474,0.83287521884182747,-0.20825978069543807
7,4,0,0.37861965111683071,0.73074435872029453,0.56803155016832929
8,4,0,-0.92791309652299925,0.34239019229675455,-0.14746606904671547
9,4,0,-0.63479105302443883,0.17048356787439775,-0.75364160718801887
10,4,0,-0.025741121378493301,-0.71293405222475648,0.70075846898097938
11,4,0,-0.018178645557586918,-0.97049896215789055,-0.24041901192740331
12,4,0,-0.019618438770972777,0.99947781099987831,0.0256753223754057
13,4,0,-0.67277966181339333,0.50313811382903617,0.54242010016482245
14,4,0,0.1070813936769273,0.74434722981541246,0.65915155813691928
15,4,0,0.37204648746144015,0.73964959463603841,0.56080289614297518
16,4,0,0.68423431751625641,0.34772513367442004,0.64102311202028417
17,4,0,-0.54064603668276823,-0.84081775901871347,0.026969596548035556
18,4,0,0.43664841966792017,-0.85356626854558704,-0.2841879357092249
19,4,0,0.66701101366024518,-0.74428195303272893,0.033773984747419876
20,4,0,-0.73307308277869199,0.12629626375909195,-0.66832111224009605
21,4,0,-0.25558927682496868,0.4713514718564612,-0.84409828311094059
22,4,0,-0.76065227632240651,0.63554009688928759,0.13227584727189076
23,4,0,-0.44944106866552008,0.29366649166968833,0.84366030928757829
24,4,0,-0.77448857822695882,-0.28801383709685796,0.56321884897145336
25,4,0,-0.85387298525904498,0.50755132690458682,-0.11529343260654616
26,4,0,-0.8910959222863849,-0.062734264791743669,-0.44945797279124644
27,4,0,-0.2229354595350391,-0.91496828231783289,-0.33635223090423433
28,4,0,0.1818277628631009,-0.83088196571217421,-0.52590286527691898
29,4,0,0.39359539913617919,-0.11813672619912872,-0.91166132730405114
30,4,0,0.65517279798945294,0.72720402775027404,-0.20475084077593039
31,4,0,-0.18763361648589189,-0.042451192126207189,0.98132131447935511
0,5,0,0.87102792263814333,-0.4513525554172434,-0.19388457572227108
1,5,0,-0.76310908096239616,-0.6188796736305926,0.18615176636180059
2,5,0,0.31574857160793995,-0.90788791534035274,-0.27575781531353627
3,5,0,-0.25793313464369366,-0.35714488121121513,-0.89772937563472077
4,5,0,-0.75067829419363341,-0.55457932336775229,-0.35905970634353135
5,5,0,0.94721404562698952,-0.12178289561055865,-0.29657120241800139
6,5,0,0.44099471350012409,0.48127433547042286,-0.75756100525465697
7,5,0,0.95413782546428483,0.21807585321099732,-0.20509493476090973
8,5,0,0.8350496529876178,-0.20947235039051312,0.50873707498779097
9,5,0,-0.74846907128911344,-0.65810169295080601,0.081830379804173847
10,5,0,0.26538151692791406,-0.93421523187315358,0.2383580311406126
11,5,0,0.78649845040899935,-0.60949265725899227,0.099693972995438723
12,5,0,0.66084712566868542,-0.74450820765164816,0.094808255098210711
13,5,0,-0.12117440993650576,0.75862317935196943,0.64016219360912707
14,5,0,0.36131742682973361,-0.72024158829693585,0.5922007865214699
15,5,0,0.0067254048653333795,-0.98893224957919712,0.14821529837242148
16,5,0,0.97150160185222612,0.22288076373730059,-0.080677151377798864
