L,J,D,q0_theory,pitch_theory,nearest_n,nearest_allowed_abs_q,measured_abs_q_peak_lowT,E0_over_N_estimate,T_lowest,E_over_N_lowest_T,helical_order_lowest_T
8,1.0,1.0,0.7853981633974483,8.0,1,0.7853981633974483,0.7853981633974483,-3.414213562373095,0.8,-2.538994215592751,0.25834801019901843
16,1.0,1.0,0.7853981633974483,8.0,2,0.7853981633974483,0.7853981633974483,-3.414213562373095,0.8,-2.547680990487932,0.12093523289088907
32,1.0,1.0,0.7853981633974483,8.0,4,0.7853981633974483,0.7853981633974483,-3.414213562373095,0.8,-2.5466833653052743,0.1206530552467268
