L,T,J,D,Bx,By,Bz,seed,therm_sweeps,samples,skip,proposal_width,E_density_mean,E_density_stderr,M_abs_mean,M_abs_stderr,chi_abs,chi_vec,Cv_per_spin,helical_order_mean,helical_order_stderr,helical_susc_like,acceptance_rate,q_peak_final,axis_peak_final,n_peak_final,ml_configs_saved
8,0.8,1,1,0,0,0,1,2000,3000,5,0.6999999999999998,-2.5372116566128,0.0007349114546567,0.0548036751457187,0.0004510353992434,0.3905912282317295,2.307563712169777,1.2962276308456857,0.2539375345050628,0.0006221354473068,0.7431408284078159,0.7339815104166667,0.7853981633974482,2,1,0
8,0.8,1,1,0,0,0,2,2000,3000,5,0.6999999999999998,-2.538456669213881,0.0007444820444491,0.054909177226984,0.0004121417587683,0.3261327922956776,2.220860121014948,1.3302084348172838,0.2588114445924573,0.0006557524659488,0.8256216894681275,0.7341236979166667,5.497787143782138,2,7,0
8,0.8,1,1,0,0,0,3,2000,3000,5,0.6999999999999998,-2.5426250184928074,0.0007080306257154,0.054744964751743,0.0004665868037704,0.4179902312692541,2.2902025803833546,1.2031376806823262,0.2615401542739621,0.0005386213245932,0.5570168281086416,0.7337407552083333,5.497787143782138,2,7,0
8,0.8,1,1,0,0,0,4,2000,3000,5,0.6999999999999998,-2.538322411466451,0.0007297129699795,0.0568030623398643,0.0004384308805886,0.369065543143098,2.4104240104767536,1.2779544445352893,0.2634003260287037,0.0005259206176995,0.5310575925532692,0.7336865885416666,5.497787143782138,2,7,0
8,0.8,1,1,0,0,0,5,2000,3000,5,0.6999999999999998,-2.538355322177816,0.0007286753718912,0.0543253580841921,0.0004565070029554,0.4001253959949625,2.2842703643794704,1.2743227142420075,0.2540505915949062,0.000642600247464,0.7928353498385161,0.7343201822916666,5.497787143782138,2,7,0
8,0.9,1,1,0,0,0,1,2000,3000,5,0.6999999999999998,-2.414270421120558,0.000833994923078,0.0589032084578085,0.0004638631994847,0.3672218757738812,2.320896288628877,1.3189642082985635,0.2319128431200363,0.0005649718025264,0.5447562882560235,0.7533645833333333,5.497787143782138,2,7,0
8,0.9,1,1,0,0,0,2,2000,3000,5,0.6999999999999998,-2.405654939506437,0.0008695435932586,0.0582377459960567,0.0004597136006026,0.3606811214148819,2.1859942489170545,1.4338011222797582,0.2252119997369971,0.0005814288234725,0.5769548403450658,0.7537763020833333,5.497787143782138,2,7,0
8,0.9,1,1,0,0,0,3,2000,3000,5,0.6999999999999998,-2.410086310668269,0.0008364184372345,0.0607560818477054,0.0004716523969387,0.3796582119049127,2.462614129894966,1.3266409285137075,0.2225252104588534,0.0005487007663593,0.5138304529124146,0.7533848958333333,5.497787143782138,2,7,0
8,0.9,1,1,0,0,0,4,2000,3000,5,0.6999999999999998,-2.410307669000288,0.0008799211420833,0.058839405199408,0.0004805277576041,0.3940811534131988,2.3380633540874878,1.4682286768077593,0.2322115037675341,0.0006201497861017,0.6563596922914342,0.7537716145833333,5.497787143782138,2,7,0
8,0.9,1,1,0,0,0,5,2000,3000,5,0.6999999999999998,-2.4096711398772723,0.0008630579507868,0.0580935214331946,0.0004693763258941,0.3760027909288571,2.287612436125092,1.4124923760193266,0.2246955992986825,0.0006312066424813,0.6799732488749076,0.7536559895833334,0.7853981633974482,2,1,0
8,1.0,1,1,0,0,0,1,2000,3000,5,0.6999999999999998,-2.274974447481882,0.0009947265486425,0.0655489243168493,0.0005179591292575,0.4120806291167485,2.592376088237911,1.51984267249821,0.1994660246255321,0.0006478710366152,0.6447158478104004,0.771501953125,0.7853981633974482,2,1,0
8,1.0,1,1,0,0,0,2,2000,3000,5,0.6999999999999998,-2.2762412529883664,0.000969150482721,0.0598346866055628,0.0004713007623901,0.3411830916549438,2.1530981892450822,1.4426920829312826,0.202748761020357,0.0007224838105316,0.801765667553849,0.7713694010416666,0.7853981633974482,2,1,0
8,1.0,1,1,0,0,0,3,2000,3000,5,0.6999999999999998,-2.2637291187672117,0.0010094412166724,0.0656613109623443,0.0005040418851346,0.3902334289460368,2.5479727277087707,1.565140331392763,0.1743855688857236,0.0007686882119653,0.9075940872414828,0.7717032552083333,0.7853981633974482,2,1,0
8,1.0,1,1,0,0,0,4,2000,3000,5,0.6999999999999998,-2.264636235228316,0.0009874360029099,0.0625350853665182,0.0005089663352382,0.3978957779034393,2.377488983839958,1.4976458647184892,0.1922737768880308,0.0006936945590178,0.7391418489001141,0.7716119791666666,5.497787143782138,2,7,0
8,1.0,1,1,0,0,0,5,2000,3000,5,0.6999999999999998,-2.248007817897164,0.0010722615720686,0.067406560151032,0.0005371992090934,0.4432634730250389,2.699068886410899,1.7660081340442633,0.1379875753945697,0.0012455833524843,2.383070035946831,0.7730895833333333,5.497787143782138,1,7,0
8,1.1,1,1,0,0,0,1,2000,3000,5,0.6999999999999998,-2.0978312779854438,0.0011513847761433,0.0691666088369244,0.0005605602967821,0.4387763381459158,2.6018292606360225,1.6828554401656783,0.0973333097914065,0.000944602384759,1.2459384998994207,0.7895720052083333,5.497787143782138,1,7,0
8,1.1,1,1,0,0,0,2,2000,3000,5,0.6999999999999998,-2.099300491356538,0.001098014294335,0.0725171556236415,0.000566053071026,0.4474173615262528,2.860537082737086,1.530459470997174,0.1085460590665773,0.0006507285027185,0.5912868085531153,0.7895604166666667,0.7853981633974482,1,1,0
8,1.1,1,1,0,0,0,3,2000,3000,5,0.6999999999999998,-2.069116376592429,0.0010615209282552,0.0820416745264872,0.0006108695979277,0.5210693804297681,3.5559433193202263,1.4304180018234651,0.0613280085789346,0.0004440035969871,0.2752780019956903,0.7910658854166666,5.497787143782138,1,7,0
8,1.1,1,1,0,0,0,4,2000,3000,5,0.6999999999999998,-2.09349424889106,0.0011358174345809,0.0713187614461492,0.0005666581833292,0.4483744536212949,2.795909259487703,1.637656852773632,0.0893064519987118,0.0009039997552183,1.1411300874726866,0.7899680989583333,0.7853981633974482,1,1,0
8,1.1,1,1,0,0,0,5,2000,3000,5,0.6999999999999998,-2.1004177671687345,0.0011037469235788,0.0742780985899211,0.0005623359681751,0.44156054030457,3.0040616221575087,1.546481957629686,0.122313116165863,0.0008531164022701,1.0162840610755466,0.7895846354166666,5.497787143782138,1,7,0
8,1.15,1,1,0,0,0,1,2000,3000,5,0.6999999999999998,-2.003119562019675,0.001160347213076,0.0740691569284247,0.000542872350668,0.3936305719027357,2.791116857545219,1.5637649042844322,0.0768717384365427,0.0008124547903975,0.8816410086710643,0.7988874999999999,0.7853981633974482,1,1,0
8,1.15,1,1,0,0,0,2,2000,3000,5,0.6999999999999998,-1.994571076948475,0.0011085015860023,0.0809144661664644,0.0006287106431537,0.5279526816031331,3.413077820669305,1.427145237683766,0.060668255175168,0.0006670271811772,0.5942653913212181,0.7988803385416666,0.7853981633974482,1,1,0
8,1.15,1,1,0,0,0,3,2000,3000,5,0.6999999999999998,-2.0051557068332784,0.0011586161029805,0.0796503911370462,0.0006145940413817,0.5045103335983736,3.2276300636090327,1.5591024551953314,0.0545952173722483,0.000576951363248,0.4446023798701211,0.7983779947916667,0.7853981633974482,0,1,0
8,1.15,1,1,0,0,0,4,2000,3000,5,0.6999999999999998,-2.007324314783216,0.0012896271313603,0.0736839453993925,0.0005433690559594,0.3943512121534176,2.7074368384897816,1.9316296256159,0.0906558516239999,0.0009384199094552,1.176217946996208,0.7981752604166666,5.497787143782138,2,7,0
8,1.15,1,1,0,0,0,5,2000,3000,5,0.6999999999999998,-2.0159123813476647,0.0011743121132309,0.0721131703043391,0.0005307716020002,0.3762779182612804,2.6580941567009204,1.60163155443136,0.0912247555626561,0.0008561461285116,0.9790146026169296,0.7977766927083332,5.497787143782138,2,7,0
