L,T,J,D,Bx,By,Bz,E_density_mean,E_density_stderr,M_abs_mean,M_abs_stderr,chi_abs,chi_vec,Cv_per_spin,helical_order_mean,helical_order_stderr,helical_susc_like,acceptance_rate,q_peak_final,axis_peak_final,n_peak_final,ml_configs_saved
8,0.8,1,1,0,0,0,0.00209217039848936,1.3368202417914827e-05,0.0009681523415387054,2.096203011103936e-05,0.035279780543077316,0.06859612683012124,0.04653648300613353,0.004296817222696679,6.046357102502039e-05,0.1366926213139682,0.00026422382109493695,2.107444419312218,0.0,2.6832815729997477,0.0
8,0.9,1,1,0,0,0,0.003054762177311195,2.0441389160072327e-05,0.001062536444823375,7.948056470613954e-06,0.012756616679675245,0.09958379406216668,0.0663025533444368,0.0044537007311821865,3.539064147205878e-05,0.07145289509870881,0.0002030548256186705,2.107444419312218,0.0,2.6832815729997477,0.0
8,1.0,1,1,0,0,0,0.011346768657065768,3.946586653256311e-05,0.0030027037909582375,2.405803314964e-05,0.037181402803932985,0.2135610069293449,0.12421003773212151,0.02661872881855635,0.00024431073712904153,0.7262269406422847,0.0007012007173057147,2.581081744295464,0.4472135954999579,3.286335345030997,0.0
8,1.1,1,1,0,0,0,0.01307715231551317,3.504344163572186e-05,0.004934661843918703,2.1157837341663784e-05,0.03468368739106812,0.36129210906763487,0.09850831683515655,0.022903257181478134,0.0002093299438566363,0.4081461018698932,0.0006468527910778529,2.5810817442954646,0.0,3.286335345030997,0.0
8,1.15,1,1,0,0,0,0.007690426476361892,6.70656554001951e-05,0.003925553066562085,4.582101301869308e-05,0.07104496572789157,0.33924945419264907,0.18805473029797862,0.016833093365085258,0.0001461675480442349,0.29484668630197297,0.00047591307391141275,2.581081744295464,0.8366600265340756,3.286335345030997,0.0
8,1.2,1,1,0,0,0,0.006518669596170328,3.8254120748498226e-05,0.004330996747326679,3.279869827752663e-05,0.04901913500194182,0.30479598547488446,0.10032463133369313,0.009280672037537081,0.00010302997368300706,0.15117998551869113,0.0002451198867574899,2.107444419312218,0.8944271909999159,2.6832815729997477,0.0
8,1.25,1,1,0,0,0,0.0044960098697542595,4.5400714628984e-05,0.001991219673617557,2.4880801276700677e-05,0.03770983296272605,0.15319970470573013,0.11460288746691565,0.00833637640927527,0.0001013444644889838,0.11858854826434498,0.00014274511601132403,2.107444419312218,1.0954451150103321,2.6832815729997477,0.0
8,1.3,1,1,0,0,0,0.011854289357741346,7.660420305675227e-05,0.002426105973012358,3.603721314668321e-05,0.05187289479123999,0.18541658538976324,0.18144780996532825,0.0052294377354817154,8.948514212222183e-05,0.10586752059818752,0.0005200663819287171,2.581081744295464,0.8366600265340756,3.286335345030997,0.0
8,1.35,1,1,0,0,0,0.005208689157674821,4.361633372512093e-05,0.0013893275718756405,1.4966375997958597e-05,0.02205717173623846,0.12312129067713748,0.0975163971713082,0.003570398852682233,4.2321851578637335e-05,0.03300343490022046,0.00025341568194011505,2.5810817442954646,0.8944271909999159,3.286335345030997,0.0
8,1.4,1,1,0,0,0,0.0078111755386044614,9.662420747607173e-05,0.0041625235901047485,3.616370975824378e-05,0.05126891546902223,0.2890964151496492,0.21488461327034847,0.002381077173091107,5.2329257048182056e-05,0.03287894741123601,0.00026739728657007854,2.5810817442954646,1.0,3.286335345030997,0.0
8,1.45,1,1,0,0,0,0.00652619400410628,2.3981975881449268e-05,0.002187016487652389,2.508923238185216e-05,0.034216988093990125,0.17778375278198397,0.047804845250867214,0.0014141331147523245,1.1213572638185873e-05,0.005261712566536265,0.0003466451359444123,2.581081744295464,0.894427190999916,3.286335345030997,0.0
8,1.5,1,1,0,0,0,0.004793446992944382,3.4777675808607246e-05,0.003244698935053183,3.202008504056871e-05,0.0407889679683266,0.19885503737184598,0.06718957978041305,0.0011771682563931794,1.111007301579482e-05,0.004489491625626185,0.0003704520333294698,2.581081744295464,0.8366600265340756,3.286335345030997,0.0
8,1.55,1,1,0,0,0,0.003785685230985383,5.0239687320928624e-05,0.0013119438361490615,3.8961648061292e-05,0.048209843009344756,0.0998566659977958,0.0895798867933452,0.001535212626515798,2.4478969433961775e-05,0.008567987731692542,0.0002680160301816872,2.4586851558642544,0.8944271909999159,3.1304951684997055,0.0
8,1.6,1,1,0,0,0,0.005939404338068847,5.893056477162193e-05,0.002796052491845473,3.0370067119826673e-05,0.03673324349166424,0.17901394661409545,0.10051631876352521,0.0016653895922225173,3.3503082332361056e-05,0.013519085633746843,0.00040659345040700137,2.581081744295464,0.5477225575051661,3.286335345030997,0.0
8,1.65,1,1,0,0,0,0.003406613314950964,5.06916222695318e-05,0.001760483964987363,1.2946814467726795e-05,0.014409249438431556,0.08621941775798524,0.08144452185056025,0.0011612169515103222,1.7434385247450978e-05,0.005220029543234497,0.00019853911167040138,2.581081744295464,0.8944271909999159,3.286335345030997,0.0
8,1.7,1,1,0,0,0,0.0038776058657276216,4.8644600678388476e-05,0.0033956595118121353,2.2287342130508754e-05,0.023656025579027264,0.17517060534587758,0.07320340976469057,0.0006107193624076025,1.2920734695356973e-05,0.003352961287392751,0.00026079345463276594,2.107444419312218,0.8944271909999159,2.6832815729997477,0.0
8,1.8,1,1,0,0,0,0.007809339280832002,6.579135977503367e-05,0.0020734641915507042,2.1589159528192762e-05,0.022132914853321115,0.10341359356480395,0.08433037743315798,0.0010515726661217502,1.6755803482798112e-05,0.0030805408643474544,0.00041366474975181744,0.3512407365520364,0.4472135954999579,0.44721359549995804,0.0
8,1.9,1,1,0,0,0,0.0025878122546741647,4.5822540145107396e-05,0.0015557639031599324,1.854122308535817e-05,0.017298359124034747,0.08257039326261426,0.053407891378902624,0.000623612641370106,9.667682603011581e-06,0.0014771019026076913,0.000173167131410479,2.048067838344955,1.0954451150103321,2.6076809620810595,0.0
8,2.0,1,1,0,0,0,0.005076228481124449,4.50506571898626e-05,0.001753523316332743,4.061228921170743e-05,0.034748211990913956,0.07134635211239311,0.04728313074622207,0.00033553336647239003,4.223468382646956e-06,0.0005483643264307771,0.00017472751778545656,1.955625655748596,0.8944271909999159,2.4899799195977463,0.0
16,0.8,1,1,0,0,0,0.0020976053156166845,9.905297068376652e-06,0.0002826276847058461,6.632782324281288e-06,0.0309116882687955,0.07296640484033436,0.09744275698664645,0.022509594198514542,0.00022272041072036373,4.482824027414339,9.200964644785185e-05,2.107444419312218,0.0,5.366563145999495,0.0
16,0.9,1,1,0,0,0,0.0021152633066243353,2.5193136468408648e-06,0.000279002997398334,5.650691183299538e-06,0.025818395791681045,0.0734212134861582,0.023169688566040705,0.025121284066762953,5.442017864254124e-05,1.04977457380017,0.000132619326359958,2.107444419312218,0.0,5.366563145999495,0.0
16,1.0,1,1,0,0,0,0.006835208206340098,2.9523177777001838e-05,0.001145893830760638,9.42500235263091e-06,0.04689019472506631,0.2512396629613842,0.26820017520082984,0.008621627323608567,0.00028002345840957827,4.859112656233505,0.0003632421625363302,2.5810817442954646,0.5477225575051661,6.572670690061994,0.0
16,1.1,1,1,0,0,0,0.0058850651757115105,1.0240497444128653e-05,0.0015276038554472504,1.248817075159668e-05,0.058382846782337704,0.2773486494989043,0.08114647011109256,0.004727283841573079,0.00010444191271689612,0.8242430137442731,0.0003078390304742157,2.125659489399401,0.0,5.412947441089743,0.0
16,1.15,1,1,0,0,0,0.0010359256770594955,4.937540016974157e-06,0.001471200878335087,1.0940367085517186e-05,0.04928625340893525,0.3028321503938664,0.03892402041517108,0.0017049927705514803,5.447934591721728e-05,0.16039661866816268,6.264424167477171e-05,2.8099258924162904,0.7071067811865476,7.155417527999327,0.0
16,1.2,1,1,0,0,0,0.002152236340685405,1.1630316249222934e-05,0.000916101228132914,6.852427074779271e-06,0.030866962994907023,0.19323492865656883,0.08555821487451826,0.0010374900755579252,2.0118955548481462e-05,0.04609178478093971,0.00014870369467395733,2.15805921530528,1.0,5.495452665613635,0.0
16,1.25,1,1,0,0,0,0.0022634702834110243,1.5919855386373967e-05,0.0012038220024614297,1.2899991653933597e-05,0.05592476452503891,0.2503242862181795,0.11067478354129326,0.0007817598485020838,1.0918510609284302e-05,0.009819128796591452,0.00010899807180423499,2.6576184168404557,1.0954451150103321,6.767569726275452,0.0
16,1.3,1,1,0,0,0,0.0025549765943525984,1.6773853272260872e-05,0.0007468915074306194,1.238032579250261e-05,0.05150998682927051,0.17078468413223755,0.1153617604198823,0.0005464712937601803,1.194558774278294e-05,0.010021548618978865,0.00011960847165058874,2.5810817442954646,0.8366600265340756,6.572670690061994,0.0
16,1.35,1,1,0,0,0,0.0026052856184764273,1.9766175890181777e-05,0.00121297624564149,1.1114300678736782e-05,0.04407192243396874,0.2179466550588573,0.1225763449588045,0.0003276010062112042,6.988180087485976e-06,0.004925132608526114,0.00016896111292813657,2.7684588976036744,0.5477225575051661,7.049822692805827,0.0
16,1.4,1,1,0,0,0,0.0016698304907589111,1.8756009730489155e-05,0.0005893632921874593,6.980251549146979e-06,0.027042157068398163,0.13596816058994687,0.11772705866118825,0.00038071593562941775,4.225479452699979e-06,0.002607473323342889,0.00010921703715055251,2.2456070445831777,0.894427190999916,5.718391382198319,0.0
16,1.45,1,1,0,0,0,0.0018746320785761835,1.3705759959263481e-05,0.0011657408103768758,1.5112465201563371e-05,0.055566643747359645,0.2552473048427133,0.0802397339492359,0.0001264604734602807,2.8602774812055557e-06,0.0015340079611163193,7.998761312961687e-05,2.349640389902114,1.0,5.9833101206606365,0.0
16,1.5,1,1,0,0,0,0.0013453370423962623,1.864328052521631e-05,0.0012579890682150481,1.0088743381224693e-05,0.03801775477219515,0.22298368508440478,0.10289335097103484,0.00021753905339672182,4.164785289562149e-06,0.0018664040044387572,7.957072176381577e-05,2.7684588976036744,0.5477225575051662,7.049822692805827,0.0
